comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_likes
rafizi & the geng berani isytihar harta..so nt Bila jadi kerajaan takde la la aset jadi 4@5x ganda tmasuk dlm account ttba Ada duit masuk.😁,@arshadahmad265,Arshad Ahmad ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"Selagi DAP ade dalam komponen PH, tolak PH. Undi lah selain mereka",@samadsekata,Samad Sekata 😉 ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"Terbaik, kita kena undi BN!",@danialhafizee,Haha ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
suruh alif tu paksa semua mp² declare hartala.,@shethough,mashitah hasbullah ,2,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
hidup pn,@zecksaba,Benzaro ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
tak habis2 dgn putar belit da 😂😂😂,@syafieeniel,Daniel ,2,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Aliff plak pro manakala .hahahaha,@manaatauni,Peaky Blinders ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
"I pernah kerja HR, tahu jer scale gaji",@norashahriza,norashahriza ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
manager pum minyak rnr seremban arah selatan kot. ckp x abis tu,@sofiajett1,sofia jett ,0,0,2022-11-13,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Dia ada 2juta mungkin sebab dulu jual goreng pisang tak jauh dgn gerai Ku Nan,@kang1834,Kang1834 ,0,0,2022-11-12,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Aku tertipu,@faatinii,Tini ,2,0,2022-11-12,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
Aku t,@faatinii,Tini ,0,0,2022-11-12,2023-01-30,https://www.tiktok.com/@detruthchannel/video/7164683515513064731,9894,1458,1718,2022-11-11
