comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
ya Allah luluskanlah KWSP saya dah xdapat nak bayar sewa rumah dan kena menjaga ibu ayah yg lumpuh klu kami semua dihalau dimana kami nak tggl lagi,@zuraini1234,Zuraini1234 ,1,0,1d ago ,2023-01-28,5356,288,355
terbaikk,@faezah026,faezah026 ,0,0,1d ago ,2023-01-28,5356,288,355
smoga dipermudahkan sgala urusan Dan dibuka hati pm meluluskan segera kwsp,@user244407597,noiey@noi ,0,0,1d ago ,2023-01-28,5356,288,355
"Done sain PWRN...
#KWSPbersasar",@ownsky3,𝐍𝐚𝐳𝐫𝐮𝐥 𝐎𝐰𝐧𝐂𝐨 ,0,0,1d ago ,2023-01-28,5356,288,355
semoga dipermudahkan semuanya,@emilioleo95,Adam Leo Leo ,0,0,1d ago ,2023-01-28,5356,288,355
kwsp 30k,@ayreen_7,Ayreen Sherlene ,0,0,1d ago ,2023-01-28,5356,288,355
assalammualaikum..link da ada tak tuk sign petisyen,@keisyah_86,Pisces_86 ,0,0,1d ago ,2023-01-28,5356,288,355
lebih baik ke3 3 NGO bergabung supaya suara pencarum lebih ramai/kuat,@ussaone,ussaone ,0,0,1d ago ,2023-01-28,5356,288,355
dia sekarang dah memang dah tk dia bagi.... kami pernat sama pm ni.....tunngu dua tk lagi jadi pm...ada yg akan keluar kan,@papa_angah,"papa""angah ",0,0,1d ago ,2023-01-28,5356,288,355
kena ada jgk pihak pembangkang yg brsuara support kwsp bru boleh jln.klau x pm kerajaan kuku besi x Lyn.pent tunggu asik bgi harapan.trusknlh berjuang,@dayangwakaka,dayangwakaka ,0,0,1d ago ,2023-01-28,5356,288,355
#kwspbersasar,@yietpichaso79,Yiet Pichaso ,0,0,1d ago ,2023-01-28,5356,288,355
ya Allah permudah segala urusan kami..dpt kami bayar hutang pi utang... aamiin,@erikarismael,Erika rismael ,1,0,1d ago ,2023-01-28,5356,288,355
Harap kita berjaya,@veeravallavan3,Veera Vallavan ,0,0,1d ago ,2023-01-28,5356,288,355
Hasbunaallah wanikmal wakil💕,@kakcik779,Seema Zadora ,1,0,1d ago ,2023-01-28,5356,288,355
jgn nnt tak ramai yg turun plak,@har_0123,Har ,1,0,1d ago ,2023-01-28,5356,288,355
semoga dipermudahkan segala urusan..#kwsp,@chehanamanis,chehanamanis ,0,0,1d ago ,2023-01-28,5356,288,355
Berkali la.. Borang la.. Sign la.. Duit sendiri.. Macam2 nak buat..dapat nye tak jugak.. 🥺,@manjecayang,💜Manje Cayang💜 ,0,0,1d ago ,2023-01-28,5356,288,355
30k,@amypuja1,Amy Puja693 ,1,0,1d ago ,2023-01-28,5356,288,355
semoga dipermudahkan,@chewannorasiah,Che Wan Nor Asiah ,1,0,1d ago ,2023-01-28,5356,288,355
semoga dpermudahkan...,@zurinarazakzurina,Zurinarazak Zurina ,1,0,1d ago ,2023-01-28,5356,288,355
saya sokong abg... rm50k One of sbb simpanan rm90k lebih cukup untuk pengeluaran KWSP bersasar untuk kelangsungan hidup jugak settlekan semua hutang,@88inamanja1,88inamanja1 ,0,0,1d ago ,2023-01-28,5356,288,355
Ya Allah... Permudah kn utk kami keluar kn kwsp,@salmi.....1,SALmiMuah💞💛💖 ,0,0,1d ago ,2023-01-28,5356,288,355
20k,@dreamsinger84,rajaseributahun ,0,0,1d ago ,2023-01-28,5356,288,355
sape yg xnk kluarkan kwsp tp mls nk berharap nnt dia pnya kecewa xterkata.,@khairulidham12,jejaka85 ,2,0,1d ago ,2023-01-28,5356,288,355
#kwspbersasar 30%,@midrose73,Midrose ,0,0,1d ago ,2023-01-28,5356,288,355
"semoga dipermudahkan segala urusan pejuang dan pencarum
insyaallah ade umur taun ni, dah bole keluarkan duit kwsp akaun 2 🥰🥰🥰",@shaharudin_mahmoh73,shaharudin_mahmoh ,1,0,1d ago ,2023-01-28,5356,288,355
💪kwsponeoff,@kidoo6071,kidoo ,0,0,1d ago ,2023-01-28,5356,288,355
kita perlukan duit utk bayar tunggakan bank interest bank berlambak lambak.,@andriaamelina,Andria Amelina ,3,0,1d ago ,2023-01-28,5356,288,355
"moga dprmudahkan olehNya..aamiin3 yrb
#kwspbersasar",@noorzez,iekin ,0,0,1d ago ,2023-01-28,5356,288,355
duit kwsp kerajaan dh sekat...,@wannuraini406,wannuraini406 ,0,0,1d ago ,2023-01-28,5356,288,355
Minyak pun tak turun2...mcm mne dia nk dgr dan luluskan permohonan rakyat???? nnti xhbis2 dipersalahkan kerajaan dahulu..itu jew modal nya..,@padeenn,Deenn_🕊 ,1,0,1d ago ,2023-01-28,5356,288,355
semoga dipermudahkan segala urusan,@user7479054956261,user7479054956261 ,1,0,1d ago ,2023-01-28,5356,288,355
hadir,@4resyaa,4resyaa ,0,0,1d ago ,2023-01-28,5356,288,355
"nk tanya, sekrg ni pengeluaran kwsp ni yg mcm mane? kwsp bersasar ke? 50k ke?",@azlin2905,Azlin Mohamad ,2,0,1d ago ,2023-01-28,5356,288,355
smoga Allah permudahkn urusan pengeluaran duit kwsp Aamiin 🤲,@rieskyamco,Riesagreen Amir ,1,0,1d ago ,2023-01-28,5356,288,355
#kwspbersasar..semoga diluluskan,@norhasyimahsyima2,norhasyimahsyima2 ,2,0,1d ago ,2023-01-28,5356,288,355
moga dilembutkan hati pm10..#kwspbersasar..dengarkanlah keluhan rakyat..kasihanilah mereka..,@roseanita4,Rose Anita ,0,0,1d ago ,2023-01-28,5356,288,355
Semoga di mudahkn segala urusan.... Aamiin Aamiin,@chyinthaaurora,Chyintha Aurora ,1,0,1d ago ,2023-01-28,5356,288,355
#kwspbersasar#kwspforall,@muhammadnaim8489,Naim8489 ,2,0,1d ago ,2023-01-28,5356,288,355
Bila la nk luluskn rakyat dh sgt terbeban sgt😭,@adamangah0,Del luna ,1,0,1d ago ,2023-01-28,5356,288,355
bila pm nak luluskan hutang makin bertambah...😳,@norizahkarim,Norizah Karim ,0,0,1d ago ,2023-01-28,5356,288,355
"Dan pwrn plak nk kumpul tandatangan, memorendum/referendum pun tk dpt jawapan ni kn plak tandatangan jer huhu",@pakcikpanas,Pfizer ,0,0,1d ago ,2023-01-28,5356,288,355
"Pandangan/cadangan PGIRM lebih realistik dr 2 ngo yg lain, pro rakyat nk jumpa lembaga pengarah kwsp just nk tanya deme tuh ada kuasa ke nk luluskn",@pakcikpanas,Pfizer ,0,0,1d ago ,2023-01-28,5356,288,355
Assamualaikum Semoga ALLAH SWT mempermudahkan segala urusan team NGO-NGO #KWSPBERSASAR aminyarobbana'alamin 🤲,@neckbucardz,NeckBuCardZ ,1,0,1d ago ,2023-01-28,5356,288,355
hrap2 dapat la keluarkn.....amin.....,@syahkajang88,syahkajang88 ,1,0,1d ago ,2023-01-28,5356,288,355
🥰,@yusri_ahmad.82,Yusri Ahmad ,0,0,1d ago ,2023-01-28,5356,288,355
"Smoga dprmudhkn urusan, aamiin.",@milnasinamilnas,Milnas Ina Milnas ,1,0,1d ago ,2023-01-28,5356,288,355
ya allah di hari jumaat yang berkah ini semoga di buka pintu hati mereka luluskan kwsp 2.0 yang amat memerlukan,@anuar13875,anuar ,1,0,1d ago ,2023-01-28,5356,288,355
semoga Allah permudahkn segala urusan kita(KWSP) semoga ada sinar kita seblum aidilfitri.. Aamiin,@mierahumairah07,miera07 ,1,0,1d ago ,2023-01-28,5356,288,355
smoga dpermudahkan sgala urusan .aminnn,@_pochek77_,rosyadieyaakub5 ,0,0,1d ago ,2023-01-28,5356,288,355
ya betul tu kita kena buat perhimpunan aman...,@mazlanlan5908,mazlanlan5908 ,0,0,1d ago ,2023-01-28,5356,288,355
hope ade berita gembira😔,@userannabell4,annabell😈 ,0,0,1d ago ,2023-01-28,5356,288,355
ya Allah minta sebelum puasa luluskan KWSP,@zamrirahman970,Zamri Rahman ,0,0,1d ago ,2023-01-28,5356,288,355
Hai selamat pagi abang kena tanda tangan jugak ke,@user9831668402846,Bos ,0,0,1d ago ,2023-01-28,5356,288,355
semoga di permudahkan,@jaliliabaharuddin,jaliliabaharuddin ,0,0,1d ago ,2023-01-28,5356,288,355
berape kali nk sain la,@matpieja,Matpieja ,0,0,1d ago ,2023-01-28,5356,288,355
semoga dpermudahkan urusan kepada yg terlibat..,@iwinibrahimirda,iwinibrahimirda ,0,0,1d ago ,2023-01-28,5356,288,355
anaur dh ckp dia taknk luluskan🤣🤣🤣🤣😂🤣,@shamsudin632,sham putra ❤️ ,1,0,1d ago ,2023-01-28,5356,288,355
tak hbs2,@shamsudin632,sham putra ❤️ ,1,0,1d ago ,2023-01-28,5356,288,355
🤣🤣🤣🤣🤣😂😂😂,@shamsudin632,sham putra ❤️ ,0,0,1d ago ,2023-01-28,5356,288,355
Aamiin,@mdee4908,Mdee4908 ,0,0,17h ago ,2023-01-28,5356,288,355
mungkinkah harapan tinggal harapan.😔,@entahlahh24,entahlahh24 ,0,0,1d ago ,2023-01-28,5356,288,355
#50Koneoff,@mimiey.1,Nur Aimimie ,0,0,1d ago ,2023-01-28,5356,288,355
Moga ada berita yg baik,@kakrose58,Kak Rose 🌹 ,0,0,1d ago ,2023-01-28,5356,288,355
tolong tolong lulukan 🙏🙏🙏🙏😭😭😭,@user4952655299261,user4952655299261 ,0,0,1d ago ,2023-01-28,5356,288,355
Terbaik info nya🥰👍👍👍,@mega3hbo,🎤🎼SHAM🙋🏻‍♂️@H.B.O🎼🎸 ,0,0,1d ago ,2023-01-28,5356,288,355
#50koneoff,@zuonezaf_06,𝐌𝐫𝐳_𝐚𝐋𝐨𝐧𝐠 ,0,0,1d ago ,2023-01-28,5356,288,355
"DESAK PENGELUARAN KHAS KWSP 2 . 0 ATAS FAKTOR KOS SARA HIDUP YANG TINGGI. Do you agree?
https://chng.it/wdbCtWyg",@allysha_89,asilah.89 ,0,0,4h ago ,2023-01-28,5356,288,355
Sedih btl dpt kerajaan mcm ini bkn ksi senang rakyat dia ksi ssh lah ada lh ….dorg tu tahu ke klu rakyat dia sedang susah tlg lah ksi luluskan saja,@gmeme862,gmeme86 ,0,0,7h ago ,2023-01-28,5356,288,355
Buat solar hajat untuk pm kita semoga hati nya terbuka...,@lagends7655,Lagends ,0,0,20h ago ,2023-01-28,5356,288,355
kwsp kasi keluarlah cepatlah luluskan rakyat memerlukannya sekarang harap faham cepatlah luluskan kwsp,@rimaurimau52,rimaurimau52 ,0,0,21h ago ,2023-01-28,5356,288,355
tumbangkan anwarrrr,@suhaimiemi2,Suhaimi Emi ,1,0,22h ago ,2023-01-28,5356,288,355
udah2 ler tu😂😂😂,@zarole25,user1616648784916 ,0,0,22h ago ,2023-01-28,5356,288,355
tlg lh jayakn luluskn duit kami..pemerentah buka lh sikit pemikiran tu..,@harubiru66,Daeny Baha ,0,0,1d ago ,2023-01-28,5356,288,355
50k kwsp bersasar bukan 30k,@alxinren,Xin Ren ,0,0,1d ago ,2023-01-28,5356,288,355
pm ke 10 dah tak pedulikan rakyat dah..dia dah jadi pm tido lena sekarang..masa dia jadi pembangkang bukan main dia bercakap..sembiang bergegar dunia,@halimiskandar4,halim iskandar ,0,0,1d ago ,2023-01-28,5356,288,355
kongsi link pls,@rayyanaqilalbakri,Rayyan Aqil AlBakri ,0,0,1d ago ,2023-01-28,5356,288,355
Pm btl2 hati batu,@faisalakma,Faizal_86 ,0,0,1d ago ,2023-01-28,5356,288,355
Tutup jela kwsp tu ssh bebenor nk amik duit,@shahrulnizam411,shahrul nizam ,0,0,1d ago ,2023-01-28,5356,288,355
Yg si pm tu sblum ckp bleh dh jd pm ckp xbleh ibarat cina ckp(CAKAP XSERUPA BIKIN) yg hmpa pulak bgi hrapn,@leoblack887pkr3,Black87 ,0,0,1d ago ,2023-01-28,5356,288,355
Brpe kali nk sign nie agak2lh,@leoblack887pkr3,Black87 ,0,0,1d ago ,2023-01-28,5356,288,355
tolong lulukan kwsp nk byr hutang 2 ini susah sgh,@user4952655299261,user4952655299261 ,0,0,1d ago ,2023-01-28,5356,288,355
