comment,username,nickname,likes,noOfRepliedComments,posted_date,extracted_date,video_likes,video_comments,video_shared
"Dgn berBaju Kurung di belasahnya main Badminton.,😅😂😝",@dinkaraki3,Din Karaki-13 ,1,0,2022-10-24,2023-01-30,10.8K,298,270
Sampai x dak loo dah ni main badminton pakai kain nih,@zainabazizan70,Zainab ,0,0,2022-10-24,2023-01-30,10.8K,298,270
"PRU15 nnti,kasi tapau Zuraida",@user2700294006037,waris den ,0,0,2022-10-24,2023-01-30,10.8K,298,270
ni nk kemping ke nk apa..,@wjuhanaripin,wjuhanaripin ,0,0,2022-10-24,2023-01-30,10.8K,298,270
Bla nk cri pegundi mcm2 tmpt sangop g,@muhammadsafuwan40,muhammadsafuwan40 ,1,0,2022-10-24,2023-01-30,10.8K,298,270
terbaik yb,@warnawarni860,zarul ,1,0,2022-10-24,2023-01-30,10.8K,298,270
mak Jan main badminton yer😂,@ir_barbossa,Ir_barbossa ,0,0,2022-10-24,2023-01-30,10.8K,298,270
wah..time ni la yb nk main badminton....😆😆😂😂,@unknownusus,susamogus ,1,0,2022-10-24,2023-01-30,10.8K,298,270
pakai seluar la YB...baru nmpk sport,@tok_ba58,tokabah ,0,0,2022-10-24,2023-01-30,10.8K,298,270
gula2 pru,@brozam3,Zam Zamfire X ,1,0,2022-10-24,2023-01-30,10.8K,298,270
Kalini aku mmg undi BN. Cukuplah kita bg PRU 14 mandat kt PH yg byk kacau bilau. Campuran parti dlm satu gabungan yg xsependapat. Cukuplah.,@thegreataba,Mirzan Jion ,3,0,2022-10-24,2023-01-30,10.8K,298,270
wayang,@mohamadtarmizi130,mohamadtarmizi130 ,0,0,2022-11-8,2023-01-30,10.8K,298,270
tterbaik ph,@rossalindajoushse,Rossalinda Joushsey ,0,0,2022-11-5,2023-01-30,10.8K,298,270
wow tin kosong,@user1752474472467raj,Raj ,0,0,2022-10-25,2023-01-30,10.8K,298,270
😂,@this1888,This888 ,0,0,2022-11-28,2023-01-30,10.8K,298,270
👍👍👍👍👍💜💜💜🤎🤎🤎🤎,@dulalhussain511,MD siam hussain ,0,0,2022-11-25,2023-01-30,10.8K,298,270
🥰🥰🥰,@rahsianafasdoa69,RAHSIA NAFAS DOA ,0,0,2022-11-25,2023-01-30,10.8K,298,270
laaa...,@sharshimah,sharshimah ,0,0,2022-11-15,2023-01-30,10.8K,298,270
😂😂😂😂😂,@ghazalighazz,Ghazali Ghazz ,0,0,2022-11-9,2023-01-30,10.8K,298,270
😂😂😂,@farrisrahman0,farrisrahman0 ,0,0,2022-11-8,2023-01-30,10.8K,298,270
✅✅✌️,@wanpaksu_89,🤜Rindiani🤛 ,0,0,2022-11-1,2023-01-30,10.8K,298,270
😁,@sime_senrose,simesenrose ,0,0,2022-10-26,2023-01-30,10.8K,298,270
😳😳😳,@hanafpira,hanafpira ,0,0,2022-10-25,2023-01-30,10.8K,298,270
🤑🤑,@ina12012,Zalina🌹 ,0,0,2022-10-25,2023-01-30,10.8K,298,270
😃😃😃😃😃😃😃😃,@bayu_senja6879,@BayuSenja6879 ,0,0,2022-10-24,2023-01-30,10.8K,298,270
Up PN Terbaik.,@zuraimizakaria807,zuraimizakaria807 ,0,0,2022-10-24,2023-01-30,10.8K,298,270
😂😂😂😂,@edenhazardhazard9,Edenhazard Hazard95 ,0,0,2022-10-24,2023-01-30,10.8K,298,270
😂😂,@shanker_32,Shanker fitness trainer ,0,0,2022-10-24,2023-01-30,10.8K,298,270
😂,@khobeng,محمد اکمل بين محمد اريس🌹 ,0,0,2022-10-24,2023-01-30,10.8K,298,270
🥰🥰🥰,@abahdinudin,Abah Din Udin ,0,0,2022-10-24,2023-01-30,10.8K,298,270
🥰🥰🥰,@evatorres1506,Eva torres ,0,0,2022-10-24,2023-01-30,10.8K,298,270
😂😂😂,@apa_hal,huhaha_hihi ,0,0,2022-10-24,2023-01-30,10.8K,298,270
🥰,@hits276,____ (^_-) izzY____ ,0,0,2022-10-24,2023-01-30,10.8K,298,270
👍,@rafizanhamdan,Rafizan Hamdan ,1,0,2022-10-24,2023-01-30,10.8K,298,270
🥰🥰🥰,@azlanabdwahab1,paklan77 ,2,0,2022-10-24,2023-01-30,10.8K,298,270
🥰🥰🥰,@tionglipanbara,Tiong Lipanbara ,2,0,2022-10-24,2023-01-30,10.8K,298,270
haha,@jerriejerrien,jerriejerrien ,0,0,2022-10-24,2023-01-30,10.8K,298,270
time mengundi blh lh mcm ni lps tu ghaib x tau p mn,@farieza87,user3396031497618 ,0,0,2022-11-20,2023-01-30,10.8K,298,270
Masa ni lah nak main badminton lah .. ragbi lah .. kalau tak asyik main sembunyi2 jee,@tehoaislimausatu,Amirul Hayat ,0,0,2022-11-18,2023-01-30,10.8K,298,270
lawak la Nurul Izzah ni ...nk PRU kau timbul..lepas diam terus ...mu tunggu d sana nt,@hnabila10,NABILA ,0,0,2022-11-16,2023-01-30,10.8K,298,270
Mana Dato Lee Chong Wei,@petersam1982,Peter Sam ,0,0,2022-11-15,2023-01-30,10.8K,298,270
Sepatutnya dtg pakai baju suka . Bari nampak natural,@slk5254,SLK2020 ,0,0,2022-11-15,2023-01-30,10.8K,298,270
Sekarang semua nak buat baik sebb nak suruh mengundi 😂😂,@aimannnnnnnnnnnnn6,ไอมัน ชามีล🇹🇭 ,1,0,2022-11-15,2023-01-30,10.8K,298,270
pakailah slim fit,@ahmadzahar77,Ahmad Zahar ,0,0,2022-11-10,2023-01-30,10.8K,298,270
undi je pn...jaga covid baik...cakap x sembang (kwsp lepas)....jangan pilih komunis dan lgbt,@scyown,Bal Collectible card ,0,0,2022-11-10,2023-01-30,10.8K,298,270
partner syed syadiq ke ni? hahahahaha😂,@rojak.poslaju,ROJAK | POSLAJU ,0,0,2022-11-9,2023-01-30,10.8K,298,270
Ermmm😱😱😱demi 1 undi,@krulktm_8886,KRulKTM_8886 ,0,0,2022-11-9,2023-01-30,10.8K,298,270
mcm2,@ceo_sayang_keluarga,mencari syurga Allah ,0,0,2022-11-9,2023-01-30,10.8K,298,270
banyak perkara. pelik² kan kalo nak pilihan raya,@janganlahfollowcenggitu,TANPA NAMA ,0,0,2022-11-9,2023-01-30,10.8K,298,270
Trend PRU kali ni main badminton ke,@salawatibuyong,Salawati Buyong ,0,0,2022-11-9,2023-01-30,10.8K,298,270
kena la ngampuu auuw auww auwww HAHAHA,@itgoodthings,it good things ,0,0,2022-11-9,2023-01-30,10.8K,298,270
